Code,LongName,SpecialNotes,Month,Day
AFG,Islamic State of Afghanistan,Fiscal year end: March 20; reporting period for national accounts data: FY.,March,20
AUS,Commonwealth of Australia,Fiscal year end: June 30; reporting period for national accounts data: FY.,June,30
BGD,People's Republic of Bangladesh,Fiscal year end: June 30; reporting period for national accounts data: FY.,June,30
EGY,Arab Republic of Egypt,Fiscal year end: June 30; reporting period for national accounts data: FY for years 1980 and after. The data from 1973 to 1979 are calendar year data.,June,30
ETH,Federal Democratic Republic of Ethiopia,Fiscal year end: July 7; reporting period for national accounts data: FY.,July,7
HTI,Republic of Haiti,Fiscal year end: September 30; reporting period for national accounts data: FY.,September,30
IND,Republic of India,Fiscal year end: March 31; reporting period for national accounts data: FY.,March,31
IRN,Islamic Republic of Iran,Fiscal year end: March 20; reporting period for national accounts data: FY.,March,20
MHL,Republic of the Marshall Islands,Fiscal year ends on September 30; reporting period for national accounts data: FY.,September,30
FSM,Federated States of Micronesia,"Fiscal year ends on September 30; reporting period for national accounts data: FY. Based on the Pacific and Virgin Islands Training Initiative, national accounts data have been revised.",September,30
MMR,Republic of the Union of Myanmar,Fiscal year end: September 30; reporting period for national accounts data: FY.,September,30
NRU,Republic of Nauru,Fiscal year end: June 30; reporting period for national accounts data: FY.,June,30
NPL,Nepal,Fiscal year end: July 14; reporting period for national accounts data: FY.,July,14
PAK,Islamic Republic of Pakistan,Fiscal year end: June 30; reporting period for national accounts data: FY.,June,30
PLW,Republic of Palau,Fiscal year ends on September 30; reporting period for national accounts data: FY.,September,30
PRI,Puerto Rico,Fiscal year end: June 30; reporting period for national accounts data: FY.,June,30
WSM,Samoa,Fiscal year ends on June 30; reporting period for national accounts data: FY.,June,30
SSD,Republic of South Sudan,Fiscal year end: June 30; reporting period for national accounts data: FY.,June,30
TON,Kingdom of Tonga,Fiscal year end: June 30; reporting period for national accounts data: FY.,June,30
UGA,Republic of Uganda,Fiscal year end: June 30; reporting period for national accounts data: FY.,June,30
